compound,family,Tc_K,crystal_system,space_group,a,b,c
YBa2Cu3O7,cuprate,92.0,orthorhombic,Pmmm,3.82,3.89,11.68
La1.85Sr0.15CuO4,cuprate,38.0,tetragonal,I4/mmm,3.78,,13.2
Bi2Sr2CaCu2O8,cuprate,85.0,tetragonal,I4/mmm,3.81,,30.6
HgBa2Ca2Cu3O8,cuprate,133.0,tetragonal,P4/mmm,3.85,,15.85
Tl2Ba2Ca2Cu3O10,cuprate,125.0,tetragonal,I4/mmm,3.85,,35.6
LaFeAsO0.9F0.1,iron-pnictide,26.0,tetragonal,P4/nmm,4.03,,8.74
Ba0.6K0.4Fe2As2,iron-pnictide,38.0,tetragonal,I4/mmm,3.94,,13.3
NdFeAsO0.86F0.14,iron-pnictide,52.0,tetragonal,P4/nmm,3.96,,8.57
FeSe,iron-chalcogenide,8.0,tetragonal,P4/nmm,3.77,,5.52
FeSe0.5Te0.5,iron-chalcogenide,14.0,tetragonal,P4/nmm,3.8,,6.0
CeCoIn5,heavy-fermion,2.3,tetragonal,P4/mmm,4.62,,7.56
CeRhIn5,heavy-fermion,2.1,tetragonal,P4/mmm,4.65,,7.54
PuCoGa5,heavy-fermion,18.5,tetragonal,P4/mmm,4.24,,6.79
MgB2,mgb2-type,39.0,hexagonal,P6/mmm,3.09,,3.52
Mg0.9Al0.1B2,mgb2-type,32.0,hexagonal,P6/mmm,3.08,,3.52
MgB1.8C0.2,mgb2-type,37.0,hexagonal,P6/mmm,3.08,,3.51
Nb3Sn,a15,18.3,cubic,Pm-3n,5.29,,5.29
Nb3Ge,a15,23.2,cubic,Pm-3n,5.17,,5.17
V3Si,a15,17.1,cubic,Pm-3n,4.72,,4.72
H3S,hydride,203.0,cubic,Im-3m,3.09,,3.09
LaH10,hydride,250.0,cubic,Fm-3m,5.1,,5.1
Nd0.8Sr0.2NiO2,nickelate,15.0,tetragonal,P4/mmm,3.92,,3.28
La3Ni2O7,nickelate,80.0,tetragonal,I4/mmm,3.83,,20.5
PbMo6S8,chevrel,15.0,trigonal,R-3,6.54,,6.54
