epoch, batch, loss, loss_force_constant, loss_e, f_mae, e/N_mae, force_constant_mae
    1,     1,       2.4622e+06,           8270.9,        2.454e+06,           5.2175,           1566.5,           8270.9
    1,     2,            35727,           3201.7,            32525,       4.6346e-05,           180.35,           3201.7
    1,     3,       5.5272e+06,           1066.6,       5.5261e+06,       1.4429e-05,           2350.8,           1066.6
    1,     4,            62318,            10010,            52308,           3.2205,           228.71,            10010
    1,     5,       9.9646e+06,            15725,       9.9488e+06,        9.569e-05,           3154.2,            15725
    1,     6,       5.1945e+06,            31046,       5.1635e+06,           22.713,           2272.3,            31046
    1,     7,       1.6342e+06,            11380,       1.6228e+06,       7.1623e-05,           1273.9,            11380
    1,     8,       1.5752e+05,           7587.9,       1.4993e+05,       7.7897e-05,            387.2,           7587.9
    1,     9,       2.0446e+05,           8577.1,       1.9589e+05,       3.6105e-05,           442.59,           8577.1
    1,    10,            24842,           7549.2,            17293,           1.0452,            131.5,           7549.2
    1,    11,        1.789e+06,            15469,       1.7735e+06,           15.098,           1331.7,            15469
    1,    12,        4.417e+06,           4436.7,       4.4126e+06,           3.0615,           2100.6,           4436.7
    1,    13,       4.2278e+06,           3196.4,       4.2246e+06,       3.9716e-05,           2055.4,           3196.4
    1,    14,       8.6696e+06,            28157,       8.6414e+06,       0.00021489,           2939.6,            28157
    1,    15,        3.742e+06,           8014.1,        3.734e+06,       5.5672e-05,           1932.3,           8014.1
    1,    16,       1.9928e+07,            15153,       1.9913e+07,       0.00025553,           4462.4,            15153
    1,    17,        1.513e+06,            26961,        1.486e+06,       7.3447e-05,             1219,            26961
    1,    18,       1.6552e+06,            10296,       1.6449e+06,       0.00014935,           1282.6,            10296
    1,    19,       3.0243e+06,            20765,       3.0036e+06,            6.206,           1733.1,            20765
    1,    20,       2.6593e+06,           5330.6,        2.654e+06,       0.00010641,           1629.1,           5330.6
    1,    21,       3.3062e+06,            28708,       3.2775e+06,            1.529,           1810.4,            28708
    1,    22,       3.2349e+06,            15616,       3.2193e+06,       0.00020223,           1794.2,            15616
    1,    23,       2.8727e+06,            41917,       2.8308e+06,           10.786,           1682.5,            41917
    1,    24,       6.0646e+06,            94303,       5.9703e+06,       0.00070187,           2443.4,            94303
    1,    25,       2.4884e+06,            31666,       2.4567e+06,           13.172,           1567.4,            31666
    1,    26,       1.1529e+06,            33144,       1.1197e+06,       0.00079295,           1058.2,            33144
    1,    27,       1.4807e+06,            52959,       1.4277e+06,       0.00022226,           1194.9,            52959
    1,    28,            57408,            39893,            17515,        0.0001723,           132.34,            39893
    2,     1,       9.7081e+05,            38027,       9.3278e+05,        0.0006279,           965.81,            38027
    2,     2,       2.0566e+06,       2.9921e+05,       1.7574e+06,           123.89,           1325.7,       2.9921e+05
    2,     3,            67378,            64901,           2477.3,       0.00051749,           49.773,            64901
    2,     4,       2.5491e+06,       2.4599e+05,       2.3031e+06,        0.0018252,           1517.6,       2.4599e+05
    2,     5,       7.9158e+05,            94892,       6.9669e+05,       0.00040842,           834.68,            94892
    2,     6,       1.4793e+05,       1.4612e+05,           1810.7,           100.06,           42.552,       1.4612e+05
    2,     7,            91664,            91641,           23.267,           102.57,           4.8236,            91641
    2,     8,        4.595e+05,            88836,       3.7067e+05,       0.00066579,           608.82,            88836
