formula_pretty,e_above_hull,bandgap,is_magnetic,mat_id
Ag3AsAu,0.4586255,0.0,False,agm002400643
Ag3AsBr,0.35284153,0.0,False,agm002400852
Ag3AsC,0.9575543,0.0,False,agm002434056
Ag3AsCl,0.4008545,0.0,False,agm002447055
Ag3AsF,0.59558415,0.0,False,agm002472658
Ag3AsH,0.23289801,0.0,False,agm002495031
Ag3AsI,0.33729506,0.0,False,agm002400656
Ag3AsIr,1.4848047,0.0,True,agm002400659
Ag3AsN,0.7618979,0.0,False,agm002538532
Ag3AsO,0.64768916,0.0,False,agm002559393
Ag3AsOs,1.5067558,0.0,True,agm002400662
Ag3AsP,0.5396571,0.0,True,agm002572904
Ag3AsPb,0.32755774,0.0,False,agm002400663
Ag3AsPd,0.62326497,0.0,False,agm002401580
Ag3AsPt,0.8761006,0.0,False,agm002400665
Ag3AsRh,1.0030441,0.0,True,agm002401834
Ag3AsRu,1.184273,0.0,True,agm002401925
Ag3AsS,0.5356314,0.0,True,agm002583223
Ag3AsSe,0.49740803,0.0,False,agm002402106
Ag3AsW,1.622843,0.0,False,agm002400678
Ag3AuBr,0.6167668,0.0,False,agm002425365
Ag3AuC,0.7396554,0.0196,False,agm002428928
Ag3AuCl,0.6625647,0.0,False,agm002446906
Ag3AuF,0.38481265,0.0,False,agm002472596
Ag3AuI,0.5749668,0.0,False,agm002390370
Ag3AuN,0.52374154,0.0,False,agm002532563
Ag3AuO,0.16625062,0.0,False,agm002565152
Ag3AuS,0.34919938,0.0,False,agm002583081
Ag3AuSe,0.4389471,0.1145,False,agm002595691
Ag3BAs,0.678622,0.0,False,agm002409825
Ag3BAu,0.4704806,0.0,False,agm002403320
Ag3BBr,0.7421591,0.0,True,agm002403379
Ag3BC,1.5125989,0.0,False,agm002409874
Ag3BCl,0.8414269,0.0,False,agm002411258
Ag3BF,0.99312854,0.0,False,agm002411321
Ag3BH,0.92756844,0.0,False,agm002489520
Ag3BI,0.7816914,0.0,False,agm002412390
Ag3BIr,0.9946103,0.0,False,agm002404527
Ag3BMo,1.2403665,0.0,False,agm002403678
Ag3BN,1.8766904,0.0,False,agm002411517
Ag3BO,1.5858773,0.0,False,agm002407728
Ag3BOs,1.2992308,0.0,True,agm002407177
Ag3BP,0.9484959,0.0,False,agm002408994
Ag3BPb,0.3923143,0.0,False,agm002408494
Ag3BPd,0.5127333,0.0,False,agm002403846
Ag3BPt,0.6379382,0.0,False,agm002409783
Ag3BRh,0.83601767,0.0,True,agm002413002
Ag3BRu,1.0412867,0.0,True,agm002407822
Ag3BS,0.8638519,0.0,False,agm002407846
Ag3BSb,0.53654504,0.0,False,agm002412392
Ag3BSe,0.673002,0.0,False,agm002409112
Ag3BTe,0.61654997,0.0,False,agm002405945
Ag3BW,1.3846734,0.0,False,agm002408496
Ag3BiAs,0.4049036,0.0,False,agm002400647
Ag3BiAu,0.55914086,0.0,False,agm002390250
Ag3BiB,0.48930773,0.0,False,agm002405941
Ag3BiBr,0.63778645,0.0,False,agm002425369
Ag3BiC,0.8550301,0.0,False,agm002431498
Ag3BiCl,0.683694,0.0,False,agm002446911
Ag3BiF,0.503358,0.0,False,agm002465878
Ag3BiH,0.21240956,0.0,False,agm002492219
Ag3BiI,0.56340146,0.0,False,agm002390374
Ag3BiIr,1.00857,0.0,True,agm002390440
Ag3BiMo,1.3767902,0.0,True,agm002530897
Ag3BiN,0.60693645,0.0,False,agm002534940
Ag3BiO,0.51847565,0.0,False,agm002558161
Ag3BiOs,1.3357768,0.0,False,agm002390475
Ag3BiP,0.35618147,0.0,False,agm002571050
Ag3BiPb,0.5573559,0.0,False,agm002390486
Ag3BiPd,0.71523124,0.0,False,agm002573918
Ag3BiPt,0.7511232,0.0,False,agm002390490
Ag3BiRh,0.9186423,0.0,True,agm002578156
Ag3BiRu,1.1217571,0.0,True,agm002579666
Ag3BiS,0.42417264,0.0,False,agm002583085
Ag3BiSb,0.53825104,0.0,False,agm002390518
